Disease ,Gender,Age,Sym1,Sym2,Sym3,Sym4,Sym5,Sym6,Sym7,Sym8,Sym9,Sym10,Sym11,Sym12,Sym13,Sym14,Sym15
Cervical Spondylomyelopathy,both,five,Chronic,slowly progressive gait,Neck Pain,acute worsening,Neck Pain,illness,,,,,,,,,
Squamous Cell Carcinoma-Tonsil,both,common,Coughing,More tired than usual,swelling on face,Foul breath,Drooling,Blood tinged saliva,Significant loss of weight,Trouble eating and drinking,Having a hard time swallowing,Gasping for breath,,,,,
Hypocalcemia,both,common,Muscle twitching and trembling,Uncoordinated or stiff gait,Panting,Face rubbing against objects,Vomiting,Lack of appetite,Fever,Weakness,,,,,,,
Pediatric Behavior Problems and trainning ,male,five,PlayBiting,The pet bites hands or legs and clothing,Bites are usually inhibited,Growling,spontaneous,Getting on Counters or Furniture,The pet gets on furniture and counters,furniture during play to get attention or to rest,,,,,,,
Vascular Ring Anomalies ,both,common,Stunted growth,Malnourishment in many animals,Regurgitation,Signs of aspiration pneumonia,Coughing,tachypnea,dyspnea,,,,,,,,
Basal Cell Tumor ,both,five,Solitary,well-circumscribed,Firm,often hairless,intradermal raised mass,illness,frequently heavily pigmented,,,,,,,,
Ectopic Ureter,female,five,urine leaking,Discolored fur around the vulva,Licking of the genital area,Irritation from urine,Recurrent urinary tract infections,,,,,,,,,,
Legg-Calve-Perthes,both,five,Lameness,weight-bearing occasionally leg is carried,Pain on manipulation of the hip,Crepitation of the joint,Atrophy of the thigh muscles,,,,,,,,,,
FibrosarComa-Nasal and Paranasal Sinus,both,common,Mucus discharge,Abnormal tear development,Pain in or around the nasal cavity,Sneezing,Pawing at the muzzle,Lack of appetite,Bad breath,Seizures,Loose teeth,Facial deformity,,,,,
Adenocarcinoma - Renal,both,ten,Adenocarcinoma,Weight loss,Inappetance,Lethargy,Hematuria pale mucous membranes,,,,,,,,,,
Tracheal Perforation,both,common,Pockets of palpable air under the skin,Shortness of breath,Difficulty breathing,external Trauma,Malaise,Vomiting,Anorexia,Gagging,Unusual salivation,Coughing,Shock,,,,
Atrioventricular Block - First Degree,both,common,Light-headedness,muscular Weakness,loss of consciousness,Rapid heart rate,Fatigue,Lethargy,Slower heart rate,Heart failure,,,,,,,
Rhinitis and Sinusitis,both,common,Sneezing,Bad breath,Rubbing or pawing at the face,Facial pain or swelling,Lack of scent ability,Lack of appetite,Weight loss,Restlessness,Bilateral Nasal discharge,Unilateral,Open mouth breathing,Labored breathing,Sneezing,Coughing,Gagging
Adenocarcinoma - Pancreas,both,ten,fever,Vomiting,Weakness,Anorexia,Icterus,malabsorption syndrome,Weight loss,Abdominal pain,Abdominal effusion,,,,,,
Hypermagnesemia,both,common,Nausea,Vomiting,Weakness,Lowered heart rate,Paralysis,Depression,Poor reflexes,Depression,Cardiac arrest,Coma,,,,,
Acute Respiratory distress Syndrome,both,common,Severe Respiratory distress,Crackles heard bilaterally on auscultation,Fever,Cyanosis,Coughing,,,,,,,,,,
Glomerulonephritis,both,ten,Blood in urine,Loss of Appetite,Increased thirst,Excessive urination,Vomiting,Lethargy,Loss of weight,Renal failure,,,,,,,
Ivermectin and Other Macrocyclic Lactones Toxicosis,both,common,Lethargy,Ataxia,Hypersalivation,Tremors,Mydriasis,Blindness,Bradycardia,,,,,,,,
Sinus Bradycardia,female,common,Lethargy,Getting too exhausted during exercise,Slow breathing,Loss of muscle coordination,Seizures,Fainting,,,,,,,,,
Salivary Mucocele,both,common,Swelling of the neck,Swelling under the tongue,Difficult swallowing,Breathing difficulties,Secondary bacterial infections,Fever,Blood in saliva,,,,,,,,
Prostatic Cysts,male,common,Asymptomatic,Lethargy,Abdominal distention,Tenesmus,Dysuria if the cyst compresses the urethra,Sanguineous urethral discharge in the presence of BPH,,,,,,,,,
Epulis,both,common,Bleeding from mass,Difficulty chewing,Displaced teeth,Drooling,Loss of Appetite,Pink and raised growth,Reduced activity level,Swelling of jaw bones,Tooth loss,Unusually Bad breath,Weight loss,,,,
Eosinophilic Granuloma Complex,male,five,Rapid onset,Nasal and muzzle swelling,Pain,Exudation,Large and Swollen erythematous lesions,Bumps and nodules on the body,,,,,,,,,
Arteriovenous Fistula and Arteriovenous Malformation,both,common,non-painful swelling at the body,fever,Coughing,dyspnea,tachypnea,Exercise intolerance,Bounding pulses,Continuous murmur,Cautious compression,,,,,,
Polypoid Cystitis,both,common,Hematuria is the most common sign,Gross Hematuria,Dysuria,Urethral obstruction,Polyps originating,surround the ureteral orifice,Urinary tract infection,,,,,,,,
Fipronil Toxicosis,both,five,Twitching,Nodding,Aggression,Sweating,Nausea,Lack of appetite,Vomiting,Headache,Abdominal pain,Dizziness,Agitation,Weakness,,,
Alopecia - Non-inflammatory,both,five,Alopecia,Hair coat,Secondary seborrhea,Pruritus,pyoderma,comedones,Enlargement of nipples,mammary glands,Macular melanosis and linear preputial dermatitis,Tail gland hyperplasia,Systemic signs,,,,
Canine Schistosomiasis,both,common,Lethargy,weight loss,Vomiting,Diarrhea,Anorexia,Polyuria or Polydipsia,more rarely Melena and borborygmus,,,,,,,,
Pheochromocytoma,both,common,Weakness,Anorexia,Vomiting,Weight loss,Panting,dyspnea,Diarrhea,Whining,Pacing,Ascites,edema,Shakes or shivers,Epistaxis,Adypsia,Lethargy
Tapeworms,both,common,Weight loss,Lethargy,Distended abdomen,Vomiting,Diarrhea,Dull coat,Visual evidence of tapeworms,,,,,,,,
Ethylene Glycol Toxicosis,both,common,Lethargy,Vomiting,Incoordination,Excessive urination,Excessive thirst,Hypothermia,Low body temperature,Seizures,Coma,,,,,,
Nail and Nailbed Disorders ,both,five,Licking at the feet or ungual folds,Lameness,Pain,Swelling,Erythema,exudate of ungual fold,Deformity,sloughing of nail,Discoloration of the nail,loss of a nail,,,,,
Dystocia,female,five,Drooling,Gagging,Ravenous appetite,swallowing,Swallowing,Nasal discharge,Coughing,Regurgitation,Painful swallowing,Anorexia,weight loss,,,,
Rotavirus Infections,both,common,Diarrhea,Mucus in the feces,Fever,Vomiting,Poor appetite,Low energy,,,,,,,,,
Baclofen Toxicosis ,both,common,Vomiting,Ataxia,Disorientation,Respiratory failure,Seizures,Drooling,Weakness,Hypothermia,Panting,Edema (pulmonary),Tremors,Dilated pupils,Slow heartbeat,,
Pulmonic Stenosis,both,common,Abdominal distension,Dyspnea,Exertional Syncope,Exercise intolerance,Asymptomatic,Systolic murmur loudest over the left heart base,may radiate widely but particularly dorsally on left,Murmur midsystolic,Louder murmurs,Arrhythmias may occur,CHF,Ascites,jugular venous distension and tachypnea,,
Ventricular Septal Defect ,both,common,Usually Asymptomatic,dyspnea,Exercise intolerance,Syncope and Coughing,right hemithorax,pulmonic stenosis heard over the left heart base,A diastolic decrescendo murmur results if the VSD undermines anatomic support of the aortic valve,Regurgitation,right-to-left shunts,Split-second heart sound,Femoral pulses usually normal,,,,
Ethanol Toxicosis,both,common,Lethargy,Sedation,Depression,Ataxia,Vomiting,Diarrhea,Disorientation,Depression,Vocalization,Coma,Seizures,,,,
Iris Atrophy,both,common,Anisocoria,Dull appearance in the color of the eye,Change in shape of the pupil,Mild sensitivity to bright light,Holes in the iris,Fixed and dilated pupil,Iris thinning,,,,,,,,
Ventricular Septal Defect ,both,common,Usually Asymptomatic,dyspnea,Exercise intolerance,Syncope and Coughing,right hemithorax,pulmonic stenosis heard over the left heart base,A diastolic decrescendo murmur results if the VSD undermines anatomic support of the aortic valve,Regurgitation,right-to-left shunts,Split-second heart sound,Femoral pulses usually normal,,,,
Alopecia - Non-inflammatory,both,five,Alopecia,Hair coat,Secondary seborrhea,Pruritus,pyoderma,comedones,Enlargement of nipples,mammary glands,Macular melanosis and linear preputial dermatitis,Tail gland hyperplasia,Systemic signs,,,,
Hepatitis-Infectious Canine,both,five,Lack of appetite,Fever,Lethargy,Vomiting,Diarrhea,Hepatomegaly,Abdominal pain,Runny eyes and nose,Coughing,Excessively thirsty,,,,,
Uterine Tumors ,both,common,discovered incidentally,vaginal discharge,pyometra,infertility,abdominal organ compression,,,,,,,,,,
Canine Distemper ,both,ten,Fever,Clear Nasal discharge,Purulent Eye discharge,Lethargy,Anorexia,Coughing,Vomiting,Diarrhea,Pustular dermatitis,Inflammation of the brain and spinal cord,,,,,
Battery Toxicosis ,both,common,Abdominal pain,Black tarry feces,Difficulty swallowing,Drooling,Fever,Increase in white blood cells,Lack of appetite,Lethargy,Mouth pain,Ulcers in the mouth,Ulcers on tongue,Vomiting,Oral Ulcerations,Bad breath,
Salmonellosis,female,common,Nausea,Abdominal pain,Fever,Diarrhea,Vomiting,Lethargy,Dehydration,Loss of Appetite,Depression,Decreased activity,,,,,
Anaphylaxis,female,five,Vomiting,Diarrhea,Pale gums,Cold limbs,Drooling,Difficulty breathing,Increased heart rate or a weak pulse,,Shock,Coma,,,,,
Spider Venom Toxicosis?Brown Recluse,both,common,pain,itchy,Skin lesion with a bulls eye effect,Swelling,Blister,Bruised,inflamed area spreading,Necrotic tissue around the bite,wound after the damaged tissue,Scab that may take months to heal,Thirst,Fever,Vomiting,Nausea,Anemia
Colitis and Proctitis ,both,common,Fecal consistency,small fecal volume,Tenesmus,Increased fecal mucus,Occasional dyschezia,Vomiting,Weight loss,colonic lymphoma,histoplasmosis,pythiosis,,,,,
Cognitive Dysfunction Syndrome ,both,ten,acronym DISHA,Disorientation,Confusion,Depression,Interactions with humans,Sleep-wake cycle alterations,including night waking,Vocalization or increased sleep during the day,behaviors might deteriorate,exploration self-care or even eating,Restlessness,Pacing,aimless wandering,licking,behavior changes
ChondrosarComa - Nasal and Paranasal Sinus ,both,common,Bilateral epistaxis,Sneezing,stertorous breathing,Facial deformity,Decreased appetite,Seizures,behavior changes,,,,,,,,
Joint Luxations,both,common,Lameness,reluctance to walk or jump,pain when touching or moving the joint,swelling or Warmth of the joint,persistent licking at the joint,Decreased appetite,decreased activity,,,,,,,,
Salmonellosis,female,common,Nausea,Abdominal pain,Fever,Diarrhea,Vomiting,Lethargy,Dehydration,Loss of Appetite,Depression,Decreased activity,,,,,
Smoke Inhalation,both,common,Coughing,Red and irritated eyes,Weakness,Difficulty breathing,swelling,Foaming at the math,Seizures,Burns to the skin and eyes,Singed or burnt hair,Vomiting,Abnormal behavior,,,,
Anemia - Immune-Mediated,female,ten,Weakness,Anorexia,Exercise intolerance,tachypnea,Vomiting,Dark red urine,,,,,,,,,
Taurine Deficiency,both,common,Panting,Collapsing or fainting,Blood in the urine,Pain during urination,Abdominal pain,Moderate to severe Blindness,,,,,,,,,
Sepsis and Bacteremia,both,common,Vomiting,Diarrhea,Lack of appetite,Lethargy,Fever,Shaking,Chills,Pale gums,Rapid pulse,Panting,Low blood glucose,Disorientation,,,
Polyphagia,both,common,Eating more frequently or a greater,quantity than normal,Excessive food-seeking and food-stealing,behaviors possible,Weight loss,exocrine pancreatic insufficiency,diabetes mellitus,hyperthyroidism,underlying medical problem,,,,,,
Anemia - Aplastic,both,five,Red or purple spots on the surface,skin that is due to tiny Hemorrhages,Recurrent infections,Blood in the urine,Nosebleeds from no known cause,Pale mucous membranes,Weight loss,Vomiting,Weakness,,,,,,
Lead Toxicosis ,both,five,Vomiting,Diarrhea,Anorexia,Abdominal pain,Lethargy,Hysteria,Seizures,Blindness,,,,,,,
Cervical Spondylomyelopathy,both,five,Chronic,slowly progressive gait,Neck Pain,acute worsening,Neck Pain,illness,,,,,,,,,
Dermatoses-Papulonodular,both,common,Hair loss,Reddened skin,Lesions,Small solid masses of the skin,Lesions,Itchiness,Skin lesions,,,,,,,,
Papillomatosis,both,common,Cutaneous papillomas,pedunculated fronds of epithelium,Canine papillomavirus most often oral mucosa,hard palate,epiglottis,may interfere with prehension,swallowing,Trauma results in Halitosis and Ptyalism,may be confined to genital or eyelid regions,Cutaneous inverted papillomas less,Multiple lesions,different papilloma,Multiple papillomas,Firm,lose pigmentation
Splenic Torsion,both,common,Collapse,Abdominal pain,Vomiting,Lack of appetite,Swelling of the abdomen,Weight los,Increased drinking and urination,Urine color changes may look like port wine,Lethargy,Depression,,,,,
Temporomandibular Joint Disorders,both,common,Unable to open or close mouth,Clicking noise,Swelling,Drooling,Deformed mouth or face,Whining when eating,Inability to eat,Visible pain when opening mouth,Appetite loss,Extreme loss of weight,,,,,
Candidiasis ,both,common,Non healing ulcers in the oral,upper respiratory,urogenital mucosa,Urinary bladder involvement cystitis,Ear infection - head shaking and scratching,Drooling,Inflammation around catheters tubes,Ulcerative,Lesions,Fever,cardiac or neurologic,,,,
Diabetes Mellitus without Complication,female,common,increased urination,Increased thirst,Weight loss,Hepatomegaly,Lethargy,Depression,Inappetance,Lack of appetite,Vomiting,,,,,,
Protothecosis,female,common,diarrhea,Weight loss,Acute onset Blindness,Neurologic disease,deafnes,Seizures,ataxia,Lesions,Gastrointestinal,ocular or neurologic,Weight loss,Hemorrhagic colitis,Vomiting,Anorexia,Blindness
Neonicotinoid Toxicosis ,both,common,Imidacloprid,Alopecia,concentration is excessively high,Hypersalivation,decreased activity,Tremors,Mydriasis or miosis and incoordinated gait,hypothermia was observed at higher doses,,,,,,,
Rodenticide Toxicosis?Phosphides,both,common,Nausea,Vomiting,Shortness of breath,Diarrhea,Unwillingness to eat,Convulsions,Lethargy,Confusion,Paralysis,Collapse,Coma,Death,,,
Hyperchloremia,both,common,Gastrointestinal irritation,Lack of appetite,Weight loss,Lethargy,Persistent Hyperventilation,Excessive thirst,Coma,Seizures,,,,,,,
Thrombocytopenia,both,common,Excessive bruising,Severe or prolonged blood loss,Fever,Lethargy,Heart murmur,Urinary Bleeding,Coughing,Excessive nasal mucus,Sudden collapse,,,,,,
 Atopic Dermatitis,both,five,Lesions,Erythema,Papules,Alopecia,hyperpigmentation,Lichenification,dry seborrhea and hyperhidrotic,apocrine sweating,Secondary bacterial and yeast skin infections,Chronic,Conjunctivitis,Blepharitis,Rhinitis,,
Anaerobic Infections,both,common,A foul Odor,associated exudates,Discolored tissue especially when black,Peritonitis,pyothorax,pyometra,Severe dental disease,Wounds or deep abscesses,,,,,,,
Maxillary and Mandibular Fractures ,both,common,underlying risk factors resulting in the injury,Facial deformity,malocclusion,fractured teeth,oral or nasal Bleeding,inability to properly close the jaw,,,,,,,,,
Beta Blocker Toxicosis ,both,common,Bradycardia,Hypotension,AV block,Decreased mentation,Respiratory distress or bronchospasm,Seizures,Coma,,,,,,,,
Epiphora,both,common,Dampness or wetness beneath the eyes,Reddish-brown staining,Odor,Skin irritation,Skin infection,,,,,,,,,,
Cardiac Glycoside Plant Toxicosis ,both,common,Cardiac arrhythmias,Collapse,Decreased heart rate,Depression,Diarrhea,Drooling,Hyperkalemia,Increased heart rate,Loss of Appetite,Lethargy,Nausea,,,,
Grape Raisin and Currant Toxicosis,both,common,Vomiting,Diarrhea,Grapes or raisins in vomit or stool,Low energy,Loss of Appetite,Weakness,Abdominal pain,Excessive thirst,Lack of urine production,Tremors,,,,,
Malignant Fibrous Histiocytoma ,both,common,Anorexia,Weight loss,Lethargy,Firm,arising in subcutaneous tissue,underlying skeletal muscle,induce bone destruction and proliferation,dorsal thoracic and scapular area and pelvic region,,,,,,,
Congenital and Developmental Renal Diseases ,both,common,Chronic,Abdominal distension,edema,nephrotic syndrome,Abdominal distension,Abdominal pain,Unilateral,frequently Asymptomatic,,,,,,,
Leukemia - Chronic Lymphocytic ,both,common,often no clinical signs of illness,Lethargy,Decreased appetite,Weight loss,Lymphadenomegaly,Splenomegaly,Fever,Polydipsia and polyuria,,,,,,,
Neonatal Mortality,both,common,Low birth weight,loss of weight and appetite,Weakness,Poor suckling,failure to receive response,Constantly vocal or restless or quiet and inactive later,Tendency to remain,separate from the dam and the rest of the litter,Low Agpar scores at birth,bluish ventral abdominal skin,Swollen red or purulentrumbilical,Gross anatomic defects,Hair coat,Dilated pupils,Respiratory distress
Bile Duct Carcinoma ,female,ten,Lethargy,Lack of appetite,Weight loss,Excessive urination,Excessive thirst,Vomiting,yellowing of skin eyes,Ascites or fluid accumulation,Anorexia,Polydipsia and polyuria,Icterus,Abdominal distension,,,
Mast Cell Tumors ,both,common,Lipomas,Regional edema,lymphadenopathy,intermittent,Systemic illness,Vomiting,Anorexia,Weight loss,,,,,,,
Squamous Cell Carcinoma-Nasal and Paranasal Sinuses,male,common,Runny nose that goes on for a long time,Bloody,Excessive tear,Sneezing,Bad breath,Loss of Appetite,Seizures,Bulging eyes,Nose seems deformed,,,,,,
Chylothorax ,both,common,Tachypnea,Coughing,Lethargy,Anorexia,Weight loss,Exercise intolerance,Vary with cause of effusion,Muffled heart and lung sounds ventrally,Increased bronchovesicular sounds,Pale mucous membranes,Arrhythmia,Heart murmur,,,
Adderall Toxicity,both,common,Drooling,Vomiting,Diarrhea,Panting,Agitation,Aggression,Sedation,Hypertension,Tremors,Seizures,Elevated heart rate,,,,
Constipation and Obstipation ,both,common,Straining to defecate with small or no fecal volume,Hard or dry feces,Infrequent defecation,Small amount of liquid and mucoid,stool,Tenesmus,Vomiting,inappetence and Lethargy,,,,,,,
Chorioretinitis ,male,common,Not usually painful,Vitreous abnormalities,Hemorrhage,blood vessels,Lesions,Inactive (scars) discrete margin,shyperreflective in the tapetum,sometimes with hyperpigmented central areas,,,,,,,
Pulmonary Edema- Noncardiogenic,both,common,Predisposing causes airway obstruction,electric cord bite,Seizures,head Trauma,near drowning,smoke exposure,adverse drug effects,Acute onset of dyspnea,Mild to severe dyspnea,Increased respiratory rate and effort,open-mouthed breathing,Postural adaptations to Respiratory distress,Unwillingness to lie down,cyanotic mucous membranes,noise breathing
Taurine Deficiency,both,common,Panting,Collapsing or fainting,Blood in the urine,Pain during urination,Abdominal pain,Moderate to severe Blindness,,,,,,,,,
Cardiopulmonary Arrest ,both,common,Lack of response to stimulation,Loss of consciousness,Agonal gasping or absence of ventilation,Absence of peripheral pulses,Hypothermia,Absence of audible heart sounds,,,,,,,,,
Leukemia - Acute Lymphoblastic ,both,common,Anorexia,Weight loss,Lethargy,HepatoSplenomegaly,Mild to moderate lymphadenomegaly,Petechial or ecchymotic Hemorrhages,,,,,,,,,
Nasal Dermatoses ,both,five,Depigmentation,Hyperpigmentation,Erythema,Erosion or Ulceration vHemorrhage,Vesicles or Pustules,Crusts,Scarring,Alopecia,Nodules or plaques,,,,,,
Intussusception,both,five,Diarrhea,Vomiting,Decreased appetite,Bloody,Hunched back,Crying,,,,,,,,,
Fipronil Toxicosis,both,five,Twitching,Nodding,Aggression,Sweating,Nausea,Lack of appetite,Vomiting,Headache,Abdominal pain,Dizziness,Agitation,Weakness,,,
Separation Distress Syndrome,both,common,Urinating and Defecating,Barking and Howling,Chewing,Digging and Destruction,Escaping,Pacing,Coprophagia,Change in Schedule,,,,,,,
Peritoneopericardial Diaphragmatic Hernia,both,common,Vomiting,Diarrhea,Weight loss,Abdominal pain,Coughing,Dyspnea,Muffled heart sounds,Displaced or attenuated apical cardiac impulse,cranial abdominal hernia,Cardiac tamponade,,,,,
Polycythemia Vera,both,ten,Depression,Anorexia,Weakness,Polydipsia and polyuria,Erythema,Dilated and tortuous retinal blood vessels,Uveitis,Acute Blindness,Splenomegaly and hepatomegaly,,,,,,
Deciduous Teeth-Persistent,both,five,Bad breath,Abnormally-positioned permanent teeth,Swollen,Bleeding gums around baby teeth,teeth overcrowding,passageway mouth and nasal cavity,,,,,,,,,
Sporotrichosis,both,common,Lesions,crust over,Fever,Malaise,Licking at the site,Loss of Appetite,,,,,,,,,
Iris Atrophy,both,common,Anisocoria,Dull appearance in the color of the eye,Change in shape of the pupil,Mild sensitivity to bright light,Holes in the iris,Fixed and dilated pupil,Iris thinning,,,,,,,,
Arthritis - Osteoarthritis ,both,common,Stiffness,Lameness,difficulty getting up,Lethargy,Reluctance to run or jump or play,Weight gain,Irritability or changes in behavior,,Difficulty posturing to urinate,Loss of muscle mass,,,,,
Cholecystitis and Choledochitis,both,common,Choledochitis,vague signs,variable Icterus,Sudden onset,inappetence,Lethargy,Vomiting,Abdominal pain,fever,Chronic,shock due to endotoxemia,bacteremia,hypovolemia,Depression,
Antidepressant Toxicosis - SSRIs and SNRIs,both,common,Agitation,Ataxia,Mydriasis,Tremors,Vomiting,Disorientation,Hyperthermia,Vocalization,Depression,Tachycardia,Hypotension,Diarrhea,Blindness,Seizures,Hypersalivation
Mediastinitis,both,common,Weakness,Dysphagia,Edema of head or neck and forelimbs,Polypnea,respiratory difficulty or obstructed breathing,Coughing,Fever,,,,,,,,
Basal Cell Tumor ,both,five,Solitary,well-circumscribed,Firm,often hairless,intradermal raised mass,illness,frequently heavily pigmented,,,,,,,,
Deafness,both,common,Difficulty localizing sound,change in attentiveness,Appear unresponsive to everyday sounds,Appear unresponsive to his or her name,Be difficult to rouse from sleep,Often they are easily startled,Bark excessively,Fail to respond to familiar verbal commands,Be difficult to rouse from sleep,Be less active,,,,,
Cholelithiasis ,both,common,May be Asymptomatic,causing intermittent,Vomiting,meal-related discomfort,Abdominal pain,fever,Jaundice,Episodic vague peri- or postprandial,Abdominal pain,,,,,,
Disseminated Intravascular Coagulation,both,common,Excessive sleepiness,Weakness,red spots from Bleeding into the skin,Bruising,Pale gums and other mucous membranes,Jaundice,yellowing of skin,Bloody,Vomiting,Bloody,Rapid heart rate and respirations,Swelling,,,
Lipoma - Infiltrative ,female,ten,Large and diffuse and soft tissue mass,muscle swelling,Infiltration of pelvic and lateral cervical musculature,Coughing,,,,,,,,,,,
Mucopolysaccharidoses ,both,common,Severe bone disease,hip subluxation,Corneal clouding,illness,Large tongue,Thickening of the heart valves,Excess urinary excretion of GAG,Metachromatic granules in blood leukocytes,locomotor difficulty is progressive,head or neck usually painful,,,,,
Proptosis,both,common,Subconjunctival or intraocular Hemorrhage,dilated pupil,Intraocular inflammation,Globe deviation or strabismus or rupture,Corneal Ulceration or desiccatio,Periocular bite wounds,Fractures of the bony orbit or skull,Systemic injuries,Trauma to the contralateral eye,,,,,,
Hydrocephalus,both,common,Domed skull,Wide set eyes,Seizures,Erratic or restless behavior,Blindness,Bumping into things,Lack of coordination,Compulsive circling,Open fontanel or soft spot on the head,Standing with legs crossed,Weak back legs,Kicking out front legs when walking,Slow growth,Difficulty in house training,
Mycotoxicosis?Tremorgenic Toxins ,both,common,Vomiting,hyperresponsive to external stimuli,Panting,Hyperactivity,Vomiting,ataxia,Incoordination,Weakness,Tachycardia,rigidity,Seizures,may lead to hyperthermia,Hypoglycemia,Dehydration,depression
Mammary Gland Tumors ,both,fifteen,Caudal mammary glands,Discrete,well-circumscribed mass in systemically healthy patient,Inflammatory carcinoma,diffuse edematous,Warm,painful mammary chains,Inflammatory carcinoma,,,,,,,
Tyzzer Disease,both,common,Abdominal pain,Anal Bleeding,Coma,Convulsions,Excessive urination or thirst,Fever,Jaundice,Lethargy,Loss of Appetite,Ruffled or coarse fur,Sudden death,Watery diarrhea,,,
Urolithiasis - Calcium Oxalate ,male,ten,Asymptomatic in some animals,number of uroliths,persistent Hematuria,contralateral microrenale,urocystoliths,Dysuria and Hematuria,Some may present for urethral obstruction,Nephroureteroliths,abdominal or urethral palpation,failure to palpate uroliths,Urocystoliths with irregular,,,,
Lupus Erythematosus - Systemic,male,common,Lethargy,Anorexia,Lameness,Lesions,Fever,Weakness,sequential rather than concurrent,Swollen,painful joints,Swollen but not deformed,Lesions,Erythema,Scaling,Ulceration,Depigmentation
Hypercapnia,both,common,Dizziness,Irregular heartbeat,Rapid heart rate,High blood pressure,Altered level of consciousness,Complete loss of consciousness,Coma,Death,,,,,,,
