Symtom,Count
Pale mucous membranes,137
myocardial involvement,138
bout of gastrointestinal,139
Masticatory,140
Difficulty rising,141
Normal at rest and on initial exercise,142
Licking at the feet or ungual folds,143
Fragmented sleep,144
Depigmentation,145
Progressive signs related to a forebrain lesion,146
Low birth weight,147
Imidacloprid,148
Similar to those of toxoplasmosis,149
None or Hematuria,150
Pitting Subcutaneous edema,151
Polyuria and Polydipsia,152
Depends on the site of Infection,153
Non-seasonal intense Pruritus,154
History reflects the underlying cause,155
multiple subcutaneous nodules,156
No associated Trauma,157
Coughing,158
Cutaneous papillomas,159
Weakness,160
Muscle pain,161
Swelling,162
limbing,163
Respiratory,164
Thoracic defect,165
PlayBiting,166
Asymptomatic,167
Scales,168
Dyschezia,169
Tamponade,170
Allergic or other immunecardiac,171
Pneumonitis,172
local inflammation,173
rust-colored urine,174
Dyspnea,175
Peracute,176
Traumatic recent Trauma,177
Environment and general husbandry,178
Abdominal enlargement,179
Transient excitement or vigorous exercise,180
Eating more frequently or a greater,181
Hematuria is the most common sign,182
Early no signs,183
Oval,184
Subconjunctival or intraocular Hemorrhage,185
severity of proteinuria,186
Scratching,187
History of blunt Trauma,188
Predisposing causes airway obstruction,189
Often reflect the primary disease process,190
Abdominal distension,191
Acutely Swollen face,192
Superficial usually involves the trunk,193
Papules,194
Dogs present within 12 weeks after their last estrus,195
Weight loss,196
Discharge from the vulva,197
Onset of proestrus or estrus,198
Vulvar discharge,199
Extraluminal slow-growing perineal mass,200
Stunted growth,201
Provocative drug given to sensitized animal,202
Illness,203
Syncope,204
Ataxia,205
macroscopic vesicourachal diverticula,206
peripheral vestibular dysfunction,207
Inactivity,208
Hemorrhage from mucosal surfaces,209
Incoordination,210
exposure with sugar-free gums,211
a bigger rounder face,212
Decrease in development of urine,213
Swollen eyelids,214
Acute Blindness,215
Halitosis,216
Short legs,217
Bone pain or tenderness,218
headshaking,219
Vocalization,220
vulvar enlargement,221
Difficulty getting pregnant,222
Disorientation,223
painful sitting,224
The presence of bright red blood in the feces,225
Pawing at or rubbing eye on floor,226
Throwing up water or food or mucus,227
Night Blindness,228
Acute or progressive Vision loss,229
Poor appetite,230
Nausea,231
Potbelly,232
Bleeding of urination,233
abnormalities of voiding dysfunction,234
Number of uroliths,235
failure of gestation,236
discovered incidentally,237
Pigmented scleral or corneal mass,238
precede dermatologic,239
Unable to open or close mouth,240
Curled lips,241
drooping of the upper eyelid,242
Excessive bruising,243
Urinating or defecating,244
Difficulty swallowing,245
Heavy breathing,246
Chewing on one side,247
Pockets of palpable air under the skin,248
Fast heartbeat,249
Upset stomach,250
Difficulty localizing sound,251
Bad breath,252
Swaying in the hind end when standing,253
Dark discoloration,254
Leukotrichia or the whitening of the hair,255
Erosions,256
dandruff or in sheets,257
Hair loss,258
Occasionally painful,259
Dry skin,260
Areas of blistering skin,261
runny eyes,262
Excessive urination,263
Increased urination,264
Excessive thirst,265
Breathing difficulties,266
Back pain,267
Excessive sleepiness,268
Labored or open-mouthed breathing,269
Gastrointestinal signs,270
Crying and whimpering during defecation,271
Urine leaking,272
Protrusion of the bottom eyelid,273
Limping,274
Oral Ulcerations on the tongue,275
Digestive problems,276
Squinting,277
Rapid onset,278
Pain,279
collapsing,280
Dampness or wetness beneath the eyes,281
Red eye,282
continuous flow of blood from nose,283
Bleeding from mass,284
Retching,285
Pain in the neck or throat,286
stomach problems,287
Change in iris pigmentation,288
face can be affected,289
Swollen,290
Aggressive chewing,291
Pacing,292
Red eyes,293
Hematochezia,294
Oral Bleeding,295
Mucus discharge,296
Twitching,297
Expulsion of gas from the anus with Odor,298
Itching,299
Loss of Appetite,300
Stomach pain,301
Dark,302
Pupils of eyes different sizes,303
Blood in urine,304
head against stable objects,305
Circling or Leaning,306
Fainting,307
Vomit containing specks of blood,308
Lack of appetite,309
Appetite loss,310
Decreased appetite,311
fluid accumulation in the abdomen,312
Staggering,313
Thick Nasal discharge,314
Anemia,315
Drooping of the eyelid,316
Confusion,317
Domed skull,318
Dehydration,319
Dizziness,320
Gastrointestinal irritation,321
Wounds not healing,322
Head tilt,323
Extreme thirst,324
Yellow eyes,325
Thickening of limbs,326
Redness in the eye,327
Muscle twitching and Trembling,328
Inability to walk or stand,329
Lack of energy,330
Tingling sensation,331
Shivering,332
weight gain,333
Shortness of breath,334
Struggling to have a bowel,335
Hyperactivity,336
False pregnancy due to an ovarian cyst,337
Hypersalivation,338
Lack of coordination,339
Blood in the peritoneal cavity,340
Stiff neck with reluctance,341
Anisocoria,342
Biting at the skin,343
Lack of muscle control,344
Follicular casts or fronds,345
jerking,346
Urinating and Defecating,347
Blood in the urine,348
Enlarged clitoris,349
Rapid breathing,350
Shaking,351
difficulty getting up,352
Gas,353
Excess salivation,354
Visible bite marks,355
Blood pressure changes,356
Abnormal spinal reflexes,357
Raised wart like lump,358
crusty sores on the ears,359
Bleeding from the mouth,360
Runny nose that goes on for a long time,361
peeling of skin,362
foul doggy breath,363
Fatigue or low energy,364
Incompletely housetrained,365
Neck Pain,366
erythematous Papules,367
may be disseminated,368
Crackles heard bilaterally on auscultation,369
raised,370
accompanying potassium depletion,371
Loss hair around eyes and mouth,372
Hair coat,373
associated exudates,374
Licking or Biting their rear end,375
skin that is due to tiny Hemorrhages,376
Dark-colored blood,377
White part of eye or sclera,378
inflammation,379
Pulse deficits,380
Anxiety,381
fever,382
Increased nasal airflow,383
Head tilting,384
Disoriented,385
Systolic murmur best heard over,386
well-circumscribed,387
Black tarry feces,388
Hematuria,389
Hypotension,390
tachyarrhythmias,391
Severe Jaundice,392
depressed appetite,393
mucoid,394
Unwillingness,395
Syndrome,396
Stridor,397
Abnormal behavior,398
vulvar edema of proestrus decreases,399
hemoptysis,400
hallmark of tracheobronchial irritation,401
Loss of libido,402
AV dissociation,403
bile streaked,404
Rarely virulent isolates,405
Clear Nasal discharge,406
Can be subclinical,407
Modest febrile response,408
predominate,409
Loss of consciousness,410
produce energy from fatty acids,411
Vision loss,412
Broad-based stance,413
head bobbing,414
non-progressive focal brain,415
recurrent otitis externa,416
slowly progressive gait,417
lack of choroidal pigment,418
diffuse or plaque-like,419
chewed containers,420
vague signs,421
causing intermittent,422
breathing,423
Vitreous abnormalities,424
Poor body condition,425
Intracavitary Hemorrhage,426
Melena,427
Diarrhean,428
sometimes blood-tinged,429
Disorientation,430
small fecal volume,431
mucoid Diarrhea,432
freezing,433
Lordosis,434
Hard or dry feces,435
Location determined by antigen contact,436
bite or scratch,437
Dental Trauma,438
corneal,439
Lipid,440
Difficulty in prehension,441
the occurrence of meniscal injury,442
Unilaterally cryptorchid,443
warble containing bot,444
Failure to thrive,445
Hip luxation is commonly cranio-dorsal,446
usually bilateral,447
Tearing,448
Mucoid to mucopurulent ocular discharge,449
head and neck moves upward,450
Exercise and heat intolerance,451
weight-bearing occasionally leg is carried,452
fibrils of liquefied vitreous,453
immune status,454
non-painful,455
Variable size amd shape and growth rate,456
Bite usually on the face,457
Dysuria,458
reluctance to jump,459
Ulcerations,460
Anorexia,461
one or more joints may be Swollen and Warmn,462
organ dysfunction,463
dysphagia,464
inflammatory dermatoses,465
Vary with severity of the enzyme deficiency,466
Discrete,467
May begin in minutes following inhalation,468
Regional edema,469
LethargyNeglect of puppies or kittens,470
Absent maternal behavior,471
Facial deformity,472
Dysphagia,473
Inappetence,474
Typically chronic,475
purulent,476
hip subluxation,477
dried product remains toxic,478
Correlated with the route of exposure,479
hyperresponsive to external stimuli,480
arrhythmias,481
regurgitation,482
bunny-hopping pelvic limb gait,483
stilted gait,484
abduction of the thoracic limbs,485
Noisy breathing,486
Hyperpigmentation,487
Reverse Sneezing,488
loss of weight and appetite,489
muscular abnormalities predominate,490
Infectious,491
sometimes Oliguria,492
progressive dysmetria,493
Pleural,494
initial Pruritus,495
hyperadrenocorticism,496
pedunculated fronds of epithelium,497
unless the disease is systemic,498
severe defects in urination,499
Occasional skipping,500
The pet bites hands or legs and clothing,501
Incontinence can be intermittent,502
crust,503
hepatic,504
occasionally find worms in vomitus,505
smooth,506
Labored breathing,507
OculoNasal discharge,508
thoracocentesis,509
unsanitary conditions,510
Trauma,511
cyst formation,512
quantity than normal,513
Gross Hematuria,514
fetal resorption evident,515
Nasal discharge,516
hyperemic mass,517
dilated pupil,518
glomerular proteinuria,519
licking,520
gastrointestinal,521
electric cord bite,522
Submandibular lymphadenopathy,523
Polyuria or Polydipsia,524
obscured by hair coat,525
Pustules,526
exogenous hormones,527
parturition,528
Excessive licking of vulva,529
Malnourishment in many animals,530
Recent vaccination history,531
cardiac arrhythmias,532
Clinical signs suggestive of hyperesthesia,533
If vestibular signs are severe,534
Epistaxis,535
Incubation,536
Intermittent large bowel Diarrhea,537
Hypoglycemia,538
abdominal sagging,539
ocular symtoms,540
behavior changes,541
Gingivitis,542
Large head,543
joint effusion,544
A mass that can be felt through the skin,545
Odor,546
vaginal discharge,547
Hot flashes,548
Struggling with bowel movements,549
Straining when defecating,550
Squinting in light,551
Wheezing,552
Blindness in light,553
Bleeding,554
non-specific muscle,555
decreased consciousness,556
Mucus in the feces,557
ureteral obstruction,558
persistent licking of the penis,559
Frequent attempts to urinate,560
Stranguria,561
Pigmented mass visible,562
Sudden onset Uveitis,563
Collapsing or fainting,564
Clicking noise,565
Clenched jaw,566
Dyspnea or shortness of breath,567
pupil eye,568
Severe or prolonged blood loss,569
Hiding,570
Dropping food,571
Slow heartbeat,572
Anal Bleeding,573
change in attentiveness,574
Abnormally-positioned permanent teeth,575
Easily falls over if pushed,576
Rubbing their face or head,577
Bad Odor and softened enamel and dentin,578
Weeping sores,579
skin pigment disappearing,580
dry accumulation,581
Bleeding from the mouth or nose,582
Reddened skin,583
Fibrosis,584
resembling pimples,585
Excessive drinking,586
Thirst,587
Rapid or shallow breathing,588
Inflammation,589
Apnea,590
Dilated pupils,591
Straining to defecate,592
Gagging,593
Difficulty walking,594
Discolored fur around the vulva,595
exposing tissue below the eyeball,596
Singeing of the fur,597
Excessive tearing,598
Reddish-brown staining,599
Irritated eye,600
Continuous pawing at nose,601
Difficulty chewing,602
Sedation,603
Excessive tears,604
Inability to blink,605
painful muzzle,606
Biting,607
Posturing with flattened ears,608
Excess fecal mucus,609
Trouble getting up,610
Traces of blood in saliva,611
Abnormal tear development,612
Nodding,613
Mild abdominal discomfort,614
Anxious behavior,615
indigestion,616
tarry stools,617
Sudden onset of diarrhoea,618
Mild to severe eye pain,619
ExhiBiting reduced reflexes,620
Eyeball moving around,621
Reluctance to exercise,622
Thick saliva,623
Vomit with dark grains,624
Bruises and pain,625
Swollen hocks,626
Hysteria,627
Frequent bowel movements,628
Visible or palpable mass,629
Pale gums,630
Constricted pupil of the affected eye,631
Wide set eyes,632
Excess thirst,633
Irregular heartbeat,634
Infections worsening,635
Body swaying,636
Fluid retention,637
Difficulty breathing,638
Cloudiness of the eye,639
Uncoordinated or stiff gait,640
Muscle Trembling,641
Twitching facial muscles,642
Uneven heart rate,643
No permanent teeth,644
Eye rubbing,645
Gagging or gasping,646
Reluctant to have a bowel movement,647
Defecating while walking or sleeping,648
Metabolic hypothyroidism,649
Uneasiness or discomfort,650
Oral pain,651
Dull appearance in the color of the eye,652
Constipation,653
reluctance to walk or jump,654
Red and inflamed skin,655
Atrophy,656
stiffening,657
Barking and Howling,658
shrinkage,659
Smaller or abnormally shaped penis,660
Severe shortness of breath,661
Cool feet,662
difficulty walking without a limp,663
Getting too exhausted during exercise,664
Dizziness or feeling lightheaded,665
Crust formation around the eye,666
Bloating,667
Red and irritated eyes,668
Cramping,669
itchy,670
crust over,671
Inflamed sores,672
Redness may come and go,673
Blood in saliva,674
Occasional bloody nose,675
More tired than usual,676
Bleeding gums,677
Lack of interest in food or exercise,678
Dogs with separation anxiety,679
no urination,680
Headache,681
cervicofacial area commonly involved.,682
Extreme tiredness,683
Stranguria and Dysuria,684
Inappetance,685
Muscle twitching,686
Patches of baldness,687
Secondary seborrhea,688
Tooth pain,689
Discolored tissue especially when black,690
A bad smell,691
Recurrent Infections,692
Abnormal peripheral pulses,693
Eye discharge,694
Loose teeth,695
Mydriasis,696
Weak pulses,697
difficulty getting up,698
Abdominal fullness,699
Depigmentation,700
Behavioural changes,701
Deafness or loss of hearing,702
Neurologic signs,703
Eating less than normal,704
dysplasia,705
loud holosystolic,706
Reduced activity,707
pale mucous,708
AV block,709
Hepatomegaly unless biliary cirrhosis,710
Jaundice,711
mucopurulent ocular discharge,712
Unresponsive to movements,713
shock,714
Paralysis of a limb,715
stertorous breathing,716
Vision Loss,717
receptive to male during estrus,718
harsh and dry,719
urogenital mucosa,720
most Infections inapparent,721
Purulent Eye discharge,722
mild or severe with pneumonia,723
Clear nasal,724
Red lips and ears and gums,725
Decreased heart rate,726
Signs of left heart failure,727
Agonal gasping or absence of ventilation,728
Muscle pain,729
Cataracts that have a rapid,730
Swaying of body,731
limb Tremors,732
Hemorrhagic stroke,733
discharge,734
yellow-green irises,735
walking dandruff,736
variable Icterus,737
visible body wall anomaly,738
Hemorrhage,739
coat,740
Prolonged Hemorrhage post-surgery,741
Hematemesis,742
anxiety or concurrent behavioral diagnoses,743
edema,744
kyphosis,745
Ocular discharge,746
Infrequent defecation,747
commonly limited to glabrous skin,748
receipt of a vaccination,749
scleral,750
gray white or crystalline,751
Temporal and masseter Muscle atrophy,752
the severity of inflammation and DJD,753
Neurologic,754
Rarely associated with pain or other signs of disease,755
Conjunctivitis,756
Shoulder luxation is commonly medial,757
cornea vascularization ranging from superficial,758
intermittent to persistent depending on severity,759
dark mucous membranes,760
Noisy respiration,761
Pain on manipulation of the hip,762
abnormally shallow or deep anterior chamberm,763
virulence of infecting serovar,764
progressive onset,765
Infiltration of pelvic and lateral cervical musculature,766
lizard may still be attached,767
Pain on pressure,768
Loss of normal cobblestone architecture of the nasal planum,769
a pain response is elicited by palpation,770
intermittent or continuous watery to semisolid consistency,771
Pruritus,772
predominate,773
ventral neck,774
well-circumscribed mass in systemically healthy patient,775
lymphadenopathy,776
Failure of puppies or kittens to thrive,777
Abnormal Maternal Behavior,778
malocclusion,779
Edema of head or neck and forelimbs,780
focal ischemia,781
Hyperthermia,782
sanguinopurulent,783
Ill-thrift,784
Corneal clouding,785
heat and pain,786
Reluctance to move,787
persists at rest and even during sleep or light anesthesia,788
inability to pick up a ball or get food into the mouth,789
Elevated serum creatine kinase activity,790
ventroflexion of the head and neck,791
May note dyspnea,792
arching of the thoracolumbar vertebral column,793
Narcolepsy eye movements,794
Nasal congestion or discharge,795
Unilaterally,796
concentration is excessively high,797
ascending lower motor neuron rigid paralysis,798
inflammatory,799
Strength and proprioception normal in most cases,800
febrile but normothermia does not rule out Infection,801
pyothorax,802
Change from mild Pruritus,803
mucosal Bleeding,804
Nodules few millimeters to several centimeters in diameter,805
varying intensity,806
intermittent,807
Canine papillomavirus most often oral mucosa,808
pain,809
may cause pooling of urine in preputial cavity,810
paresis,811
Bites are usually inhibited,812
Conscious voiding patterns often present,813
central nervous and gastrointestinal,814
raised pink nodules ypically 1?2 cm in diameter,815
Orthopnea,816
jugular venipuncture,817
May detect bosselated kidneys by abdominal palpation,818
Excessive food-seeking and food-stealing,819
Later Vulvar discharge,820
Intraocular inflammation,821
dogs with PLE have normal stools.,822
Acute onset Blindness,823
Eating behavior changes,824
peracute dyspnea,825
Purulent otitis externa,826
Abdominal or lumbar pain,827
affects the chin or bridge of the nose,828
Crusts,829
Uterus with closed cervix palpably enlarged,830
Diminished activity,831
Often Splenomegaly,832
Licking of vulvar area,833
Frequent or inappropriate urination,834
Exposure to ticks,835
No ventricular pulse can be palpated,836
gastrointestinal Hemorrhage,837
Febrile response,838
missing teeth,839
outward bulge,840
absent menace,841
Dysphagia- dysorexia,842
Can eat only soft food,843
Pharyngitis,844
Long body,845
reduced range of motion in affected joints,846
redness of the skin,847
persistent estrus (menstruation and heat),848
Night sweats,849
hydrocephalus,850
staggering may occur,851
Hematochezia Abnormally small or ribbon like feces,852
Itchy anus,853
Keeping eye closed,854
Bleeding inside the eyes,855
Rubbing or pawing at the face,856
Joint pain,857
hydronephrosis,858
straining to urinate or not voiding,859
Diminished to absent urine stream,860
persistent Hematuria,861
fetal heart rates decline with delay in intervention,862
pyometra,863
Irregular pupil,864
Secondary changes include glauComa,865
Distended abdomen,866
Trouble swallowing,867
the eye on the affected side often appears sunken,868
Chewing,869
Heart murmur,870
Coma,871
Appear unresponsive to everyday sounds,872
Wobbling,873
Redness or inflammation of the skin,874
painful underlying tooth,875
Scabby abrasions,876
Lightening of the skin color,877
Excessive scaling due to shedding of skin cells,878
Folliculitis,879
Severe sores and Ulceration,880
snotty nose,881
polyphagia,882
Abnormally large volume of feces,883
reluctance to walk,884
red spots from Bleeding into the skin,885
Irregular breathing,886
Abdominal effusion,887
Low or absent anal tone,888
Inability to defecate,889
Ravenous appetite,890
Poor mothering,891
Licking of the genital area,892
below the eyes stained a brownish color by tear,893
Less enthusiasm to go for walks or play,894
Infection,895
Tremors,896
Walking around in circles,897
Inflammation in eye,898
Unusual dark color Vomit,899
Displaced teeth,900
Abnormal ticking or twitching of the eyelid,901
a drooping ear,902
Lack of interest in eating,903
Cowering,904
Cowering and hiding,905
Warm ears,906
Slower movements,907
Difficulty chewing and eating,908
Pain in or around the nasal cavity,909
Aggression,910
Mild stomach distention or Bloating,911
Diarrhoea,912
Lots of blood in dog stool,913
Appearance of vessels in the white of the eye,914
Grapes or raisins in vomit or stool,915
Compulsive Pacing,916
Not being able to focus,917
Fatigue after moderate activity,918
Bright red tongue and gums,919
Joint inflammation,920
Frequent urination,921
Increased thirst,922
Behavioral changes,923
Inflammation or edema,924
Sunken appearance of the affected eye,925
Urinary tract disorders,926
Increased appetite,927
Rapid heart rate,928
Blood in urine and stool,929
Abdominal discomfort or pain,930
Body Tremors,931
Muscle Tremors,932
Warm,933
Pain with palpation and movement,934
Pool of blood in the iris or cornea,935
Frequent urination and thirst,936
Muscle pains,937
Small penis and testicles,938
Whining,939
stiff muscles,940
lack of desire to exercise,941
Difficult and rapid breathing,942
Dragging hind end on the rug or floor,943
Uterine Infections,944
Bloody discharge from penis,945
Fatigue,946
Hoarse barking,947
Lack of alertness,948
Enlarged scrotum,949
Altered gait,950
Change in shape of the pupil,951
pain when touching or moving the joint,952
Difficult swallowing,953
scabs and crusty skin,954
Chewing,955
lose weight,956
Penis in female dogs,957
Sudden and rapid heartbeat,958
Poor pulse,959
avoid walking altogether,960
Slow breathing,961
Lack of moisture in the eye,962
Loss of control of bodily movements,963
Death,964
Skin lesion with a bulls eye effect,965
Wide legged stance,966
Bleeding sores,967
Bleeding from sores on the ears,968
Excessive tear,969
Arthritis,970
DisorientationUnable to recognize known objects,971
Urinates during greetings,972
Dog is unresponsive during the episode,973
Blurry vision,974
Not eating,975
Bleeding,976
Dehydration in volume-depleted patients,977
hair loss,978
Difficulty eating and drinking,979
Peritonitis,980
Constipation or pain when pooping,981
Cold limbs,982
Lack of stamina,983
Droopy eyelid,984
An abscess behind the eye,985
Hypothermia,986
May report previous Trauma,987
Abdominal discomfort,988
planum,989
vomitus may be blood tinged,990
societal interactions,991
tetraplegia depending,992
Difficult breathing,993
Acting weak or sleepy,994
Labored respiration,995
louder and radiates more widely,996
membranes,997
often hairless,998
Blood in ejaculate,999
Decreased mentation,1000
Cranial mass effect structures,1001
Eye inflammation and discharge,1002
around the house,1003
Difficulty controlling a limb,1004
Food and Water Intake Changes,1005
ulva less turgid,1006
post-tussive Gagging common,1007
Gastrointestinal,1008
Urinary bladder involvement cystitis,1009
occasionally fatal enteritis,1010
Most viral,1011
higher temperatures,1012
generally during activity or exercise,1013
Absence of peripheral pulses,1014
bilateral onset,1015
Intention Tremors,1016
aggravated disappear during sleep,1017
acute to subacute focal,1018
acute worsening,1019
epiphora in bright light,1020
revalence varies by geographic region owing,1021
increased activity,1022
Sudden onset,1023
meal-related discomfort,1024
blood vessels,1025
Variable Jaundice,1026
Chronic,1027
Skin Ulceration with secondary crusting,1028
Increased fecal mucus,1029
separation anxiety,1030
nephrotic syndrome,1031
Ataxia,1032
Small amount of liquid and mucoid,1033
Thick hair coat,1034
gastrointestinal Infection,1035
Poor body condition,1036
eyelid deformity,1037
can be band-shaped or irregular or circular,1038
Intermittent Pyrexia,1039
Elbow luxation,1040
lateral or ventrolateral cornea,1041
Rubbing at eyes,1042
increased skin turgor,1043
pelvis drops,1044
Change of voice,1045
Crepitation of the joint,1046
borborygmus,1047
abnormal iris curvature,1048
Primary reservoir host,1049
HepatoSplenomegaly,1050
Cervical spinal cord,1051
both persist throughout the syndrome,1052
Bleeding from bite site,1053
induced during extension of hip joints,1054
Tissue loss and scarring can occur,1055
responds well to antibiotic treatment,1056
Bacterial,1057
Ascites,1058
Pitting,1059
Affected animals are normal at birth,1060
malOdor,1061
Inflammatory carcinoma,1062
intermittent,1063
Maternal Aggression,1064
fractured teeth,1065
Polypnea,1066
Bloody oral discharge,1067
Lateralizing deficits predominate,1068
dark green Vulvar discharge,1069
Bleeding diathesis,1070
Animals may experience re-injury,1071
cutaneous tissues,1072
consistent frequency in a given patient,1073
acutely Swollen muscles,1074
creatine kinase activity normal,1075
Worsen with exercise,1076
plantigrade stance,1077
stiffening or overflexion of the pelvic limbs,1078
Muscular twitching,1079
Erosion or Ulceration vHemorrhage,1080
Stertor,1081
Circling,1082
Poor suckling,1083
distinguished,1084
renal failure,1085
seeking,1086
exhibit proprioceptive deficits,1087
resulting in dyspnea,1088
not develop severe Pruritus,1089
Repeated febrile,1090
Involved fat may necrose,1091
usually involves the forelimbs initially,1092
Brachycephalic syndrome may be observed,1093
hard palate,1094
areflexic,1095
Cachexia,1096
can lead to balanoposthitis and even septicemia,1097
Epistaxis or gingival Bleeding,1098
patella,1099
Growling,1100
Urgency with small volume elimination,1101
Epidermal collarettes,1102
Exposure to toxic,1103
occurs simultaneously,1104
heat,1105
Hemoglobinuria less,1106
occur without egg production,1107
Open-mouth breathing,1108
Tachypnea,1109
lung aspirate,1110
contact irritants,1111
renal capsule and pain,1112
Polydipsia and polyuria,1113
behaviors possible,1114
Urethral obstruction,1115
hemorrhagic or lochial,1116
May see accompanying epiphora,1117
Globe deviation or strabismus or rupture,1118
acute dyspnea,1119
Neurologic disease,1120
rubbing or chewing,1121
refuse to eat hard food,1122
head Trauma,1123
Signs associated with lower urinary tract,1124
Crusted Papules,1125
palpate carefully to avoid rupture,1126
nodules that ulcerate and drain,1127
Parturition with Postpartum discharge,1128
Failure to allow copulation,1129
Signs of aspiration pneumonia,1130
Poor dirofilariasis prophylaxis,1131
Cardiac arrest,1132
Sudden death,1133
Pulmonary contusions and rib fractures,1134
lower urinary,1135
Sudden onset of imbalance,1136
tiredness,1137
a reluctance to eat,1138
lost vision,1139
absent dazzle,1140
Reluctance or pain to chew,1141
Buccitis-buccal mucosal Ulceration,1142
Smaller nose,1143
include the head of the humerus,1144
Increased pain with lifting,1145
Head rubbing,1146
pyometra (pus in the uterus),1147
Vaginal dryness,1148
caused by paralysis of the hind legs,1149
Scouting on the floor,1150
Cloudy cornea,1151
frequent swallowing,1152
Oral ulcers,1153
Increased breathing rate,1154
Inability to see clearly in bright light,1155
Bleeding from the eyes,1156
hind limb paralysis,1157
doughnut-shaped mass protruding,1158
Attenuated,1159
Vocalizing,1160
contralateral microrenale,1161
Dysuria and Hematuria,1162
voiding of small,1163
contractions cease despite,1164
infertility,1165
Uveitis,1166
Cataracts,1167
Pain during urination,1168
Slower rate of growth than littermates,1169
third eyelid,1170
Heavy salivation,1171
Grinding of teeth,1172
external Trauma,1173
Convulsions,1174
Appear unresponsive to his or her name,1175
Bleeding gums around baby teeth,1176
Knuckling of the paws when trying to walk,1177
Excessive oil on the skin,1178
lined by dark and soft necrotic dentin,1179
tip of tail or pressure points,1180
Groups of hairs under the bumps,1181
Itchiness,1182
Difficulty eating,1183
Small solid masses of the skin,1184
Scabs,1185
Hepatomegaly,1186
yellowish tone most visible in the eyes,1187
Frequency of defecation increases,1188
Bruising,1189
Posture changes,1190
Mucosal,1191
swallowing,1192
Irritation from urine,1193
Redness and other signs of irritation,1194
elbows held at a strange angle,1195
Abnormal rapid breathing,1196
Morbillivirus species Infections,1197
Blindness,1198
Exudation,1199
Skin irritation,1200
Alteration in clarity of eye,1201
Increasing attempts to swallow,1202
Corneal ulcers,1203
Ears held back,1204
Hair raised on the back of the neck,1205
Warm and dry nose,1206
Arthritic type symptoms,1207
Sweating,1208
rumbling from the abdomen,1209
Scabs on the dog skin,1210
Belching,1211
An increase in thirst,1212
Redness of the eye,1213
Low energy,1214
Excessive Pacing,1215
Decreased urine output,1216
Bowel sounds,1217
Dark urine,1218
Coma in severe cases,1219
Muscle atrophy,1220
Loss of body weight,1221
Difficulty climbing stairs,1222
Bladder disorders,1223
Erratic or restless behavior,1224
High blood pressure,1225
Blood in vomit,1226
Enlarged liver,1227
Lowered heart rate,1228
Wide leg stance,1229
