Disease ,Gender,Below Ten,Sym1,Sym2,Sym3,Sym4,Sym5,Sym6,Sym7,Sym8,Sym9,Sym10,Sym11,Sym12,Sym13,Sym14,Sym15
Schwannoma,Both,common,Lack of muscle control,Atrophy,Difficulty walking,Drooping eye,Weakness,Pain,Swelling,,,,,,,,
Anemia of Chronic Kidney Disease,Both,Below Five,Weight loss,Poor appetite,Lethargy,Lack of stamina,Weakness,Rapid heart rate,Rapid breathing,Paleness of mucus membranes,Blood in the stool,Excessive drinking and urination,,,,,
Pneumonia-Fungal,Both,common,Weight loss,OculoNasal discharge,Coughing,Tachypnea,Blepharospasm,Papules and cutaneous nodules,Lameness,Seizures,ataxia,behavior change if CNS affected,Emaciation,Harsh,loud breath sounds,Coughing on tracheal palpation,Dyspnea
Hyperadrenocorticism,Female,common,Increased thirst,Increased urination,Increased appetite,Reduced activity,Excessive Panting,Thin or fragile skin,Hair loss,Recurrent skin infections,Enlargement of the abdomen,,,,,,
Multiple Myeloma ,Both,common,Lethargy,Weakness,Lameness,Bleeding diathesis,gingiva and epistaxis,Funduscopic abnormalities,,,,,,,,,
Lymphomatoid Granulomatosis ,Both,common,Coughing,Serous,Exercise intolerance,Weight loss,Anorexia,Fever,,,,,,,,,
Discospondylitis,Both,common,Back pain,Neck Pain,reluctance to walk,Decreased appetite,Ataxia or paresis,Weight loss,Lack of appetitie,Lameness,Draining tracts,,,,,,
ChondrosarComa - Oral ,Both,common,Halitosis,Visible mass involving the mandible,Hypersalivation,Weight loss,Bloody,dysphagia,,,,,,,,,
Leukemia - Acute Lymphoblastic ,Both,Below Ten,Anorexia,Weight loss,Lethargy,HepatoSplenomegaly,Mild to moderate lymphadenomegaly,Petechial or ecchymotic Hemorrhages,,,,,,,,,
Adenocarcinoma - Salivary Gland ,Both,common,Unilateral,Firm,swelling,Halitosis,Weight loss,Anorexia,dysphagia exophthalmus,Horner?s syndrome,Sneezing,dysphonia,,,,,
Fanconi Syndrome,Both,Below Ten,Lethargy,Vomiting,Lack of interest in eating,Diarrhea,Excessive thirst,Excessive urination,Weight loss,Weakness,Seizures,,,,,,
Campylobacteriosis ,Both,common,Diarrhea,bile streaked,Tenesmus,Fever,Anorexia,Vomiting,,,,,,,,,
Dermatophilosis,Both,Below Ten,Lesions,Weeping sores,Scabby abrasions,Groups of hairs under the bumps,Rash is usually on the head or neck,,,,,,,,,,
Bronchiectasis ,Both,common,Chronic,hemoptysis,Fever,Exercise intolerance,Tachypnea,Chronic,particularly with primary ciliary dyskinesia,Moist,harsh inspiratory crackles,loud expiratory lung sounds,Tracheal hypersensitivity,,,,
Temporomandibular Joint Disorders,Both,Below Five,Unable to open or close mouth,Clicking noise,Swelling,Drooling,Deformed mouth or face,Whining when eating,Inability to eat,Visible pain when opening mouth,Appetite loss,Extreme loss of weight,,,,,
Submissive and Excitement Urination,Both,Below Ten,Incompletely housetrained,Dogs with separation anxiety,Urinates during greetings,Dog appears unaware of urination,Urinates when excited,Submissive Urination,Puppies and fearful or shy adults,Previously Traumatized dogs,Previously abused dogs,Urinates during greetings and scoldings,Urinates in response,Urinates while making submissive gestures,,,
Adenocarcinoma - Lung,Both,Below Ten,Rapid breathing,Extreme tiredness,Weakness,Loss of Appetite,Difficulty breathing,Weight loss,Muscle pain and Weakness,Vomiting,Fever,Bloody,,,,,
Pyometra,Female,common,Dogs present within 12 weeks after their last estrus,exogenous hormones,Uterus with closed cervix palpably enlarged,palpate carefully to avoid rupture,with open cervix may not be palpably enlarged,Systemic illness,Open cervix blood-stained,purulent vaginal discharge often only presentation,Closed cervix,polyuria,Polydipsia,Lethargy,Anorexia,Vomiting,Abdominal distension
Vascular Ring Anomalies ,Both,common,Stunted growth,Malnourishment in many animals,Regurgitation,Signs of aspiration pneumonia,Coughing,tachypnea,dyspnea,,,,,,,,
Odontoma ,Both,common,oral swelling,ocular symtoms,missing teeth,a reluctance to eat,Vomiting,drooling,,,,,,,,,
Atrial Fibrillation and Atrial Flutter,Both,common,Galloping heart,Exercise intolerance,Weakness,Coughing,Dyspnea,Tachypnea,Lethargy,Syncope,Loss of consciousness,,,,,,
Narcolepsy and Cataplexy ,Both,common,Fragmented sleep,loss of consciousness,Narcolepsy eye movements,muscular twitching,usually aroused by loud noises,petting or other external stimuli,,,,,,,,,
Thunderstorm and Noise Phobias,Both,common,Urinating or defecating,Hiding,Chewing,Panting,Pacing,Digging,Trying to jump out of window,Drooling,Seeking out the owner,Flatulence,Barking,Trembling,Dilated pupils,,
Lactic Acidosis,Both,common,attempted respiratory compensation,Dehydration,dark mucous membranes,increased skin turgor,Severely acidotic,,,,,,,,,,
Cuterebriasis ,Both,common,Dermatologic,warble containing bot,Neurologic,ataxia,circling,paralysis,Blindness,recumbency,Lesions,larva in conjunctiva,Respiratory,,,,
Cataracts ,Both,common,Cataracts that have a rapid,White eye,bilateral onset,Polyuria,Vision loss,,,,,,,,,,
Anemia - Iron-Deficiency,Both,common,Weakness,Anorexia,Weakness,Lethargy,Depression,Rapid breathing,Increased susceptibility to disease,Dark-colored tarry stools,,,,,,,
Candidiasis ,Both,common,Non healing ulcers in the oral,upper respiratory,urogenital mucosa,Urinary bladder involvement cystitis,Ear infection - head shaking and scratching,Drooling,Inflammation around catheters tubes,Ulcerative,Lesions,Fever,cardiac or neurologic,,,,
Canine Coronavirus Infections ,Both,common,Vary greatly,Vomiting,most infections inapparent,Rarely virulent isolates,occasionally fatal enteritis,,,,,,,,,,
Ivermectin and Other Macrocyclic Lactones Toxicosis,Both,common,Hypersalivation,Lethargy,Ataxia,Tremors,Mydriasis,Bradycardia,Blindness,,,,,,,,
Metritis ,Both,common,MalOdorous,purulent,sanguinopurulent,dark green Vulvar discharge,Depression,Anorexia,Neglect of puppies and kittens,Reduced milk production,Polyuria,Fever,Large uterus on abdominal palpation,Dehydration,Injected mucous membranes,Tachycardia,
Esophageal Diverticula,Both,Below Ten,Retching,Gagging,Hypersalivation,Vomiting,Difficulty breathing,Unable to finish eating,Weight loss,Coughing,,,,,,,
Schwannoma,Both,Below Ten,Lack of muscle control,Atrophy,Difficulty walking,Drooping eye,Weakness,Pain,Swelling,,,,,,,,
Synovial SarComa,Both,common,Limping,Swelling,Pain,Ulcerated sore in affected area,Fever,Loss of Appetite,Losing weight,Difficulty breathing,,,,,,,
Irritable Bowel Syndrome,Both,common,Diarrhea,Constipation,Abdominal pain,Bloating,Nausea,Vomiting,,,,,,,,,
Vertebral Column Trauma ,Both,common,ataxia,Clinical signs suggestive of hyperesthesia,Lethargy,Pulmonary contusions and rib fractures,Pelvic and appendicular bone fractures,Cutaneous wounds,Traumatic brain injury,Abdominal organ injury,,,,,,,
Rhinitis and Sinusitis,Both,Below Ten,Sneezing,Bad breath,Rubbing or pawing at the face,Facial pain or swelling,Lack of scent ability,Lack of appetite,Weight loss,Restlessness,Bilateral Nasal discharge,Unilateral,Open mouth breathing,Labored breathing,Sneezing,Coughing,Gagging
Schwannoma,Both,common,Difficulty walking,Lack of muscle control,Atrophy,Swelling,Drooping eye,Weakness,Pain,,,,,,,,
Thrombocytopenia,Both,Below Ten,Excessive bruising,Severe or prolonged blood loss,Fever,Lethargy,Heart murmur,Urinary Bleeding,Coughing,Excessive nasal mucus,Sudden collapse,,,,,,
Canine Infectious Respiratory Disease ,Both,common,respiratory tract damage,Can be subclinical,mild or severe with pneumonia,Most viral,mycoplasmal,the infecting agents,Coughing,dry and hacking,moist and hacking,retching and expectoration of mucus,,,,,
Infertility-male,Male,common,Fever,Uneasiness or discomfort,Bloody,Painful ejaculation,Swelling,Depression,Pain in lumbar region,Retrograde ejaculation,Changes in libido,Failure to ejaculate,Refusal to breed,,,,
Pulmonic Stenosis,Both,common,Abdominal distension,Dyspnea,Exertional Syncope,Exercise intolerance,Asymptomatic,Systolic murmur loudest over the left heart base,may radiate widely but particularly dorsally on left,Murmur midsystolic,Louder murmurs,Arrhythmias may occur,CHF,Ascites,jugular venous distension and tachypnea,,
Anemia - Non Regenerative,Both,common,Tachycardia,Pale mucous membranes,Abnormal peripheral pulses,Hypotension,Lethargy,Weakness,Anorexia,Splenomegaly,Abdominal distension,Heart murmur,Jaundice,Fever,Shock,,
Whipworms,Both,common,Range from Asymptomatic to severe,Intermittent large bowel diarrhea,Diarrhea,Weight loss,eggs detectable in feces,Chronic,,,,,,,,,
Pulmonary Edema- Noncardiogenic,Both,common,Predisposing causes airway obstruction,electric cord bite,Seizures,head Trauma,near drowning,smoke exposure,adverse drug effects,Acute onset of dyspnea,Mild to severe dyspnea,Increased respiratory rate and effort,open-mouthed breathing,Postural adaptations to Respiratory distress,Unwillingness to lie down,cyanotic mucous membranes,noise breathing
Pneumonia- Bacterial,Male,common,Coughing,Labored breathing,Exercise intolerance,Weight loss,Lethargy,Nasal discharge,Fever,Difficult or rapid breathing,Abnormal breath sounds,crackles and wheezes,Weight loss,Nasal discharge,Lethargy,Dehydration,
Xylitol Toxicosis ,Both,common,exposure with sugar-free gums,Hypoglycemia,Vomiting,Lethargy,Weakness,ataxia,Collapse,Seizures,Vomiting,abdominal Bleeding,Hypoglycemia,,,,
Canine Coronavirus Infections ,Both,common,Vary greatly,Rarely virulent isolates,most infections inapparent,occasionally fatal enteritis,Vomiting,,,,,,,,,,
Nephrolithiasis ,Both,Below Ten,None or Hematuria,Vomiting,Dysuria,renal failure,lower urinary tract,Vomiting,,,,,,,,,
Anemia - Immune-Mediated,Female,Below Ten,Weakness,tachypnea,Dark red urine,Anorexia,Vomiting,Exercise intolerance,,,,,,,,,
Bilious Vomiting Syndrome ,Both,common,Frothy yellow vomit,Vomiting,Depression,Lethargy,Drooling,Licking his lips,Lack of appetite,Concentrated urine,,,,,,,
Hypoadrenocorticism ,Female,common,Depression,Lethargy,Lack of appetite,Weight loss,Vomiting,Diarrhea,Bloody,Hair loss,Increased urination,Increased thirst,Dehydration,Shaking,Weak pulse,Irregular heart rate,Low temperature
Lameness ,Both,common,Unilateral,head and neck moves upward,Unilateral,pelvis drops,Bilateral hindlimb,forequarters carried lower to shift weight forward,proximal lesion,,,,,,,,
FibrosarComa Gingiva,Both,Below Ten,Oral Bleeding,Traces of blood in saliva,Difficulty chewing and eating,Difficulty swallowing,Lymph node,Drooling,Facial swelling,Growth or growths in mouth,Persistent Halitosis,Unexplained weight loss,,,,,
Astrocytoma,Both,Below Ten,kinetic dependent,Seizures,Behavioural changes,societal interactions,Disorientation,Loss of conscious proprioception,Cranial nerve abnormalities,,,,,,,,
Melanocytic Tumors - Skin and Digit ,Both,Below Ten,Skin mass with variable growth rates,Solitary,Lameness,Lymph node,diffuse pulmonary metastasis,,,,,,,,,,
Vaginal Tumors ,Both,common,Extraluminal slow-growing perineal mass,Vulvar discharge,Dysuria,Pollakiuria,vulvar licking,dystocia,Intraluminal mass protruding from the vulva,Stranguria,tenesmus,,,,,,
Irritable Bowel Syndrome,Both,Below Five,Bloating,Diarrhea,Constipation,Abdominal pain,Vomiting,Nausea,,,,,,,,,
Ductal Plate Malformation,Both,common,Abdominal effusion,Diarrhea,Gastrointestinal signs,Poor body condition,Fever,Choledochal cyst,,,,,,,,,
Lymphomatoid Granulomatosis ,Both,common,Coughing,Serous,Exercise intolerance,Weight loss,Anorexia,Fever,,,,,,,,,
Ivermectin and Other Macrocyclic Lactones Toxicosis,Both,common,Ataxia,Blindness,Bradycardia,Hypersalivation,Tremors,Lethargy,Mydriasis,,,,,,,,
Osteochondrodysplasia,Both,common,Short legs,Large head,Long body,Smaller nose,Bulging eyes,Underbite and crooked teeth due to shorter jaw,Feet turned outward,Sticking out tongue,Deformed bones,Slow growth,Shorter bones than normal,Inflammation of joints,Bowed legs,Curved spine,
Congestive Heart Failure Right-Sided ,Both,common,Dyspnea,Weakness,Lethargy,Exercise intolerance,Abdominal distension,tachypnea,,,,,,,,,
Keratitis - Nonulcerative ,Female,common,Chronic,usually bilateral,cornea vascularization ranging from superficial,lateral or ventrolateral cornea,thickened and depigmented third eyelids,leading edge of corneal lesion,may lead to Blindness,Pigmentary keratitis,appears as focal to diffuse,brown discoloration of the cornea,corneal vascularization or scarring,Pigmentary keratopathy,brown corneal pigmentation,,
Supraventricular Tachycardia,Both,common,Weakness,Lethargy,Panting,Coughing,Fainting,Collapse,,,,,,,,,
Zinc Toxicosis ,Both,common,Anorexia,Vomiting,Diarrhea,Lethargy,Pale or icteric mucous membranes,Hemoglobinemia,Hemoglobinuria,Orange-tinged feces,Tachycardia,,,,,,
Hyperphosphatemia,Both,common,Muscle wasting,Seizures,Decreased bone density,Excessive thirst,Excessive urination,Muscle Tremors,,,,,,,,,
Spider Venom Toxicosis?Black Widow,Both,common,Blood pressure changes,Cramping,Death,Diarrhea,Drooling,Drunken gait,Labored breathing,Weakness,Loss of coordination,Muscle rigidity,Paralysis,Restlessness,Seizures,Severe muscle pain,Tremors
Horners Syndrome,Both,common,Vision may be impaired,Drooping of the eyelid,Sunken appearance of the affected eye,third eyelid,Constricted pupil of the affected eye,,,,,,,,,,
Coagulation Factor Deficiency ,Both,common,Trauma,Hematoma formation,Intracavitary Hemorrhage,Prolonged Hemorrhage post-surgery,Blood loss anemia,,,,,,,,,,
Grape Raisin and Currant Toxicosis,Both,common,Vomiting,Diarrhea,Grapes or raisins in vomit or stool,Low energy,Loss of Appetite,Weakness,Abdominal pain,Excessive thirst,Lack of urine production,Tremors,,,,,
Sepsis and Bacteremia,Both,Below Ten,Vomiting,Diarrhea,Lack of appetite,Lethargy,Fever,Shaking,Chills,Pale gums,Rapid pulse,Panting,Low blood glucose,Disorientation,,,
Epulis,Both,common,Bleeding from mass,Difficulty chewing,Displaced teeth,Drooling,Loss of Appetite,Pink and raised growth,Reduced activity level,Swelling of jaw bones,Tooth loss,Unusually Bad breath,Weight loss,,,,
Portosystemic Vascular Anomaly- Congenital,Both,common,Stunted growth,Coughing,Gastrointestinal signs inappetence,Vomiting,Diarrhea,pica,most dramatic predominate signs,transiently improve with fluids,broad-spectrum antibiotics and lactulose,Weakness,Pacing,ataxia,Disorientation,head pressing,Blindness
ChondrosarComa - Larynx and Trachea ,Both,Below Five,Voice change,Coughing,Exercise intolerance,Severe Respiratory distress,Cyanosis,breathing,Dysphagia,Collapse,,,,,,,
Pelvic Bladder,Both,common,Asymptomatic,Incontinence can be intermittent,Conscious voiding patterns often present,Urgency with small volume elimination,Perineum stained or soaked with urine,urine scalding,wet vulva or prepuce,,,,,,,,
Hyperestrogenism,Both,common,Lethargy,Pale gums,Blood in urine and stool,Blood in vomit,Fever,Infections,Thinning hair,Hair loss,males exhiBiting female characteristics,Infertility,Prolonged estrus in females,Enlarge vulva and teats in female,Bleeding from vulva,attraction to opposite gender,attraction to opposite gender
Cuterebriasis ,Both,Below Five,Dermatologic,warble containing bot,Neurologic,ataxia,circling,paralysis,Blindness,recumbency,Lesions,larva in conjunctiva,Respiratory,,,,
Dermatoses-Sterile Nodular,Both,Below Ten,Occasionally painful,Fever,Inappetence,Lethargy,Multiple lesions,,,,,,,,,,
